id_reclamo,fecha_reclamo,cliente_id,canal,producto,motivo,estado,tiempo_resolucion_horas,monto_reembolso,nps
31,2026-04-02,4894,Oficina,Paquete Triple,Cancelación de servicio,En proceso,83,173.55,5
32,2026-03-20,1037,Web,Internet,Cancelación de servicio,Resuelto,27,140.29,5
33,2026-01-23,1935,Oficina,Telefonía,Producto incorrecto,Pendiente,67,70.23,2
34,2026-04-13,1524,App,Paquete Triple,Producto incorrecto,Resuelto,19,120.25,0
35,2026-01-09,2475,WhatsApp,Telefonía,Entrega tardía,Pendiente,2,106.14,1
36,2026-02-23,2016,WhatsApp,Telefonía,Problema técnico,En proceso,115,65.69,7
37,2026-01-12,4476,Call Center,Telefonía,Cancelación de servicio,Resuelto,35,142.7,7
38,2026-03-08,1006,Oficina,Móvil,Problema técnico,Resuelto,1,187.02,7
39,2026-01-12,1535,WhatsApp,Paquete Triple,Problema técnico,Pendiente,50,160.16,2
40,2026-04-09,2466,WhatsApp,Telefonía,Error de facturación,En proceso,41,124.66,6
41,2026-03-17,1228,App,Telefonía,Problema técnico,Resuelto,93,61.88,1
42,2026-01-29,3045,Oficina,Paquete Triple,Entrega tardía,En proceso,59,42.35,0
43,2026-02-14,4369,WhatsApp,Telefonía,Cancelación de servicio,En proceso,114,94.73,3
44,2026-04-15,4366,WhatsApp,TV,Problema técnico,Pendiente,59,27.14,10
45,2026-03-12,3413,Web,Telefonía,Problema técnico,Resuelto,58,149.4,4
46,2026-02-05,2802,WhatsApp,Paquete Triple,Problema técnico,En proceso,75,138.06,0
47,2026-03-15,2852,Oficina,Móvil,Producto incorrecto,Resuelto,56,87.97,5
48,2026-01-27,2825,Call Center,TV,Producto defectuoso,Pendiente,26,58.62,6
49,2026-02-13,3174,Oficina,TV,Entrega tardía,Resuelto,29,74.8,6
50,2026-03-01,4035,Web,Internet,Cancelación de servicio,Resuelto,58,40.81,10
51,2026-03-02,4839,Web,Paquete Triple,Entrega tardía,Resuelto,46,123.1,5
52,2026-02-03,1995,WhatsApp,Móvil,Cancelación de servicio,Pendiente,91,174.11,9
53,2026-03-02,3615,WhatsApp,TV,Entrega tardía,Pendiente,69,145.6,7
54,2026-04-28,1716,Call Center,Internet,Error de facturación,En proceso,40,105.79,3
55,2026-03-23,2675,WhatsApp,Paquete Triple,Problema técnico,Pendiente,16,186.19,3
56,2026-02-11,3531,Oficina,Telefonía,Producto defectuoso,En proceso,55,162.08,7
57,2026-01-08,3215,App,TV,Entrega tardía,Pendiente,47,61.86,8
58,2026-01-24,4048,WhatsApp,Telefonía,Producto defectuoso,Pendiente,120,179.09,10
59,2026-01-05,4881,WhatsApp,Paquete Triple,Error de facturación,Resuelto,80,82.11,9
60,2026-04-22,4444,WhatsApp,Paquete Triple,Producto incorrecto,En proceso,32,153.85,4
61,2026-03-17,1811,Web,Móvil,Producto defectuoso,Resuelto,97,107.27,8
62,2026-04-26,1068,App,Internet,Producto incorrecto,En proceso,90,189.13,9
63,2026-01-16,3889,App,Paquete Triple,Producto defectuoso,En proceso,76,10.68,9
64,2026-03-01,3562,App,Internet,Cancelación de servicio,Resuelto,31,156.98,0
65,2026-02-25,2371,WhatsApp,TV,Entrega tardía,Pendiente,68,96.9,4
66,2026-01-27,2790,Web,TV,Producto incorrecto,Pendiente,109,190.77,5
67,2026-02-07,3460,WhatsApp,Paquete Triple,Error de facturación,Resuelto,42,69.17,3
68,2026-05-01,4277,Web,Telefonía,Producto defectuoso,En proceso,38,190.09,3
69,2026-02-03,4604,Web,Telefonía,Producto incorrecto,Pendiente,60,68.18,5
70,2026-02-26,2337,Call Center,Móvil,Producto defectuoso,Resuelto,6,149.71,6
71,2026-01-26,1987,App,Móvil,Entrega tardía,Resuelto,24,56.54,2
72,2026-02-17,1275,WhatsApp,TV,Producto incorrecto,Resuelto,83,129.76,4
73,2026-02-22,1088,Web,Paquete Triple,Cancelación de servicio,Resuelto,40,97.18,8
74,2026-04-28,1346,Oficina,TV,Problema técnico,Pendiente,102,131.31,0
75,2026-01-21,3801,App,Telefonía,Entrega tardía,En proceso,34,72.02,7
76,2026-03-20,1602,Web,Móvil,Error de facturación,En proceso,57,54.65,1
77,2026-04-26,2002,App,Móvil,Producto incorrecto,Resuelto,9,29.6,8
78,2026-04-13,3604,WhatsApp,Telefonía,Cancelación de servicio,En proceso,63,87.56,5
79,2026-01-11,3156,WhatsApp,Paquete Triple,Cancelación de servicio,En proceso,37,119.87,10
80,2026-02-10,3455,App,Móvil,Problema técnico,Pendiente,113,131.49,9
81,2026-04-26,2843,Web,Móvil,Error de facturación,En proceso,31,71.49,9
82,2026-04-09,4752,Web,Telefonía,Error de facturación,En proceso,84,58.99,0
83,2026-04-23,3653,WhatsApp,Móvil,Cancelación de servicio,Resuelto,79,124.82,8
84,2026-04-19,3543,WhatsApp,Telefonía,Entrega tardía,Resuelto,61,169.39,7
85,2026-02-23,1431,Call Center,TV,Error de facturación,En proceso,21,172.3,4
86,2026-04-09,2965,WhatsApp,TV,Producto defectuoso,Pendiente,60,38.55,10
87,2026-03-17,4066,Web,TV,Producto incorrecto,Resuelto,82,154.13,0
88,2026-04-07,1387,Oficina,Móvil,Error de facturación,En proceso,71,170.17,7
89,2026-04-13,3886,App,Paquete Triple,Error de facturación,Pendiente,101,58.88,9
90,2026-01-21,4731,App,Paquete Triple,Error de facturación,Pendiente,24,102.49,7
91,2026-03-21,2006,App,TV,Cancelación de servicio,Pendiente,94,84.57,2
92,2026-02-09,3455,Oficina,Móvil,Producto incorrecto,En proceso,52,34.75,5
93,2026-02-28,1350,App,Paquete Triple,Error de facturación,Pendiente,61,122.7,8
94,2026-02-26,2719,WhatsApp,Paquete Triple,Producto incorrecto,En proceso,99,72.88,5
95,2026-03-07,4663,Call Center,TV,Cancelación de servicio,Pendiente,73,25.47,7
96,2026-03-21,1083,App,Paquete Triple,Producto defectuoso,Resuelto,101,164.95,3
97,2026-04-03,1408,App,Móvil,Cancelación de servicio,En proceso,41,181.12,0
98,2026-04-05,1101,WhatsApp,Móvil,Problema técnico,En proceso,60,195.88,0
99,2026-04-21,2073,Call Center,TV,Entrega tardía,Pendiente,110,176.91,3
100,2026-03-15,1655,App,Móvil,Cancelación de servicio,En proceso,34,129.51,7
101,2026-04-04,3250,App,TV,Problema técnico,En proceso,23,196.92,6
102,2026-04-01,1178,Web,Móvil,Producto defectuoso,En proceso,50,27.65,9
103,2026-02-24,4801,Call Center,TV,Producto defectuoso,Pendiente,77,98.21,6
104,2026-02-01,4818,Call Center,Internet,Problema técnico,En proceso,80,174.14,9
105,2026-02-07,1295,Oficina,Móvil,Entrega tardía,Pendiente,49,76.14,10
106,2026-03-08,3765,Call Center,Móvil,Cancelación de servicio,Pendiente,70,62.83,10
107,2026-03-19,4111,Web,Telefonía,Error de facturación,En proceso,103,57.55,3
108,2026-04-12,4388,Call Center,Móvil,Problema técnico,Resuelto,37,4.5,2
109,2026-01-16,3682,WhatsApp,Internet,Entrega tardía,En proceso,112,23.98,9
110,2026-04-19,4172,Oficina,TV,Entrega tardía,Pendiente,68,162.23,7
111,2026-01-19,2843,App,Paquete Triple,Cancelación de servicio,En proceso,60,37.6,6
112,2026-01-26,4291,App,Paquete Triple,Cancelación de servicio,Pendiente,102,36.68,1
113,2026-04-02,4181,App,Paquete Triple,Error de facturación,Pendiente,55,42.96,9
114,2026-03-12,4400,App,Telefonía,Producto incorrecto,Pendiente,75,11.37,7
115,2026-04-05,2138,WhatsApp,Móvil,Problema técnico,Resuelto,7,170.43,4
116,2026-04-01,2937,App,Telefonía,Error de facturación,Pendiente,19,60.88,1
117,2026-02-25,2938,Web,Móvil,Problema técnico,Resuelto,116,38.19,7
118,2026-01-21,4646,Web,TV,Cancelación de servicio,En proceso,94,29.64,3
119,2026-04-22,1251,WhatsApp,TV,Problema técnico,Pendiente,80,175.52,8
120,2026-03-19,3212,App,Internet,Problema técnico,Resuelto,34,91.42,9
121,2026-02-13,3585,App,Telefonía,Producto incorrecto,En proceso,27,29.68,5
122,2026-02-18,2112,App,Telefonía,Problema técnico,Pendiente,45,157.58,7
123,2026-03-11,2266,Call Center,Telefonía,Producto defectuoso,Resuelto,58,167.51,2
124,2026-02-09,3162,Oficina,Paquete Triple,Problema técnico,Resuelto,51,12.89,1
125,2026-01-06,1454,Web,Móvil,Entrega tardía,Resuelto,14,174.36,1
126,2026-05-01,4794,Call Center,Internet,Producto incorrecto,Resuelto,104,160.08,6
127,2026-01-19,4501,App,Telefonía,Entrega tardía,Resuelto,89,166.73,3
128,2026-03-24,3930,Call Center,Telefonía,Producto defectuoso,Pendiente,91,82.13,7
129,2026-01-26,4406,Oficina,Internet,Producto incorrecto,Pendiente,24,54.49,9
130,2026-03-21,2123,App,Móvil,Problema técnico,Resuelto,20,163.31,5
131,2026-01-12,4472,Call Center,Móvil,Producto incorrecto,Pendiente,17,130.15,7
132,2026-02-16,1906,Call Center,Paquete Triple,Cancelación de servicio,En proceso,100,145.28,8
133,2026-03-12,4647,Web,Móvil,Problema técnico,Resuelto,4,63.22,5
134,2026-01-08,4184,Call Center,TV,Cancelación de servicio,Resuelto,106,40.32,9
135,2026-03-17,4424,Oficina,TV,Entrega tardía,En proceso,49,144.29,10
136,2026-04-26,3323,App,Internet,Entrega tardía,En proceso,4,98.15,10
137,2026-04-18,1665,Oficina,Telefonía,Cancelación de servicio,En proceso,11,23.64,2
138,2026-04-28,1685,Web,Internet,Producto incorrecto,En proceso,112,141.55,1
139,2026-04-13,2318,WhatsApp,TV,Producto incorrecto,En proceso,113,169.36,10
140,2026-01-31,4017,WhatsApp,Telefonía,Producto incorrecto,En proceso,79,75.06,2
141,2026-01-16,3401,App,Paquete Triple,Producto defectuoso,Pendiente,60,170.25,7
142,2026-01-17,3591,Web,Móvil,Cancelación de servicio,Resuelto,97,137.22,5
143,2026-02-19,2763,Call Center,Internet,Producto defectuoso,Pendiente,118,95.83,4
144,2026-02-02,4470,Web,Paquete Triple,Producto defectuoso,En proceso,64,59.03,5
145,2026-03-16,2082,Web,TV,Entrega tardía,En proceso,100,86.95,4
146,2026-01-19,2937,Call Center,Paquete Triple,Cancelación de servicio,Resuelto,70,159.16,2
147,2026-04-23,4944,Call Center,Telefonía,Error de facturación,Pendiente,112,94.49,6
148,2026-04-01,2929,Call Center,TV,Cancelación de servicio,Pendiente,91,166.81,6
149,2026-02-06,1455,WhatsApp,Paquete Triple,Entrega tardía,En proceso,101,93.79,6
150,2026-03-25,4244,Web,TV,Problema técnico,Pendiente,115,63.9,10
151,2026-02-11,2546,WhatsApp,Móvil,Producto defectuoso,Resuelto,75,81.15,10
152,2026-02-07,4140,Call Center,Paquete Triple,Error de facturación,En proceso,118,99.83,8
153,2026-02-21,1066,Call Center,Paquete Triple,Producto defectuoso,Resuelto,64,26.87,6
154,2026-04-15,3453,Oficina,Internet,Producto incorrecto,Pendiente,28,139.42,1
155,2026-03-29,3584,WhatsApp,Telefonía,Cancelación de servicio,Resuelto,61,119.79,6
156,2026-01-01,3204,Call Center,Móvil,Producto defectuoso,En proceso,83,130.82,0
157,2026-04-09,2275,App,Móvil,Problema técnico,Resuelto,88,1.19,7
158,2026-04-01,4659,App,Móvil,Producto incorrecto,Resuelto,25,138.83,8
159,2026-03-16,3468,App,Internet,Producto incorrecto,Pendiente,31,163.27,4
160,2026-03-02,1741,App,Paquete Triple,Error de facturación,En proceso,10,138.86,10
161,2026-04-21,3626,Oficina,Móvil,Producto defectuoso,Resuelto,46,74.58,8
162,2026-01-10,1957,WhatsApp,Internet,Producto defectuoso,En proceso,90,167.42,3
163,2026-03-27,4086,Web,Telefonía,Cancelación de servicio,Resuelto,109,102.86,9
164,2026-03-31,2242,App,Telefonía,Producto defectuoso,Resuelto,86,81.78,9
165,2026-04-10,3336,Web,Paquete Triple,Problema técnico,Pendiente,81,178.09,4
166,2026-02-08,1132,Call Center,TV,Producto defectuoso,En proceso,54,55.8,4
167,2026-02-18,4630,Call Center,Paquete Triple,Producto defectuoso,Pendiente,67,196.31,5
168,2026-02-13,1576,Web,Móvil,Producto defectuoso,En proceso,44,44.83,7
169,2026-03-27,1160,WhatsApp,Móvil,Producto incorrecto,En proceso,10,30.4,7
170,2026-02-14,2940,Web,Internet,Entrega tardía,Pendiente,35,58.27,8
171,2026-01-14,3992,Call Center,Móvil,Producto defectuoso,En proceso,62,102.43,4
172,2026-04-01,2022,WhatsApp,TV,Problema técnico,Pendiente,118,91.46,0
173,2026-03-28,3479,WhatsApp,TV,Cancelación de servicio,Resuelto,42,190.54,1
174,2026-04-09,3275,Web,Móvil,Error de facturación,Pendiente,120,0.55,5
175,2026-03-24,1876,App,Telefonía,Producto incorrecto,Resuelto,91,58.61,9
176,2026-02-18,3909,App,TV,Producto incorrecto,Resuelto,71,116.4,10
177,2026-02-22,1010,Call Center,TV,Error de facturación,Resuelto,110,87.26,7
178,2026-02-12,1527,App,TV,Producto defectuoso,Resuelto,55,82.64,7
179,2026-02-23,2125,Web,Telefonía,Entrega tardía,Resuelto,48,176.65,3
180,2026-04-24,4469,Web,Internet,Problema técnico,En proceso,83,96.6,1
181,2026-02-09,2183,Oficina,Móvil,Producto defectuoso,Resuelto,57,98.23,1
182,2026-01-05,3855,Oficina,Paquete Triple,Producto defectuoso,En proceso,72,110.84,2
183,2026-01-17,2632,Oficina,Internet,Producto defectuoso,En proceso,35,115.19,6
184,2026-01-25,4187,Oficina,Internet,Cancelación de servicio,En proceso,28,80.27,1
185,2026-04-25,3084,Call Center,Paquete Triple,Error de facturación,En proceso,75,154.48,8
186,2026-05-01,4845,WhatsApp,Internet,Producto defectuoso,Resuelto,58,13.1,1
187,2026-02-21,4291,Call Center,Internet,Producto incorrecto,Resuelto,16,47.84,0
188,2026-02-27,4967,App,Paquete Triple,Producto incorrecto,Pendiente,39,197.01,5
189,2026-01-20,3005,Call Center,Paquete Triple,Producto incorrecto,Resuelto,87,44.2,0
190,2026-02-15,4976,Oficina,Telefonía,Problema técnico,En proceso,54,23.58,9
191,2026-02-08,2852,Oficina,Telefonía,Producto incorrecto,Resuelto,70,181.51,4
192,2026-03-23,1129,App,Paquete Triple,Entrega tardía,Pendiente,13,138.37,1
193,2026-01-16,4715,Web,Internet,Entrega tardía,En proceso,45,13.79,8
194,2026-04-02,1529,Call Center,Móvil,Producto incorrecto,En proceso,34,54.59,5
195,2026-01-28,4628,WhatsApp,Telefonía,Error de facturación,Resuelto,56,48.83,3
196,2026-01-28,3500,WhatsApp,Paquete Triple,Cancelación de servicio,En proceso,116,31.46,9
197,2026-01-05,4012,WhatsApp,TV,Problema técnico,En proceso,40,69.69,9
198,2026-04-02,2675,Oficina,TV,Problema técnico,Pendiente,33,110.12,7
199,2026-03-09,3501,App,Paquete Triple,Entrega tardía,En proceso,82,51.84,4
200,2026-03-04,4190,Call Center,TV,Entrega tardía,En proceso,108,115.67,7
201,2026-04-02,4634,Web,TV,Producto incorrecto,Resuelto,53,152.17,3
202,2026-01-05,2987,Oficina,Móvil,Cancelación de servicio,Resuelto,16,3.2,10
203,2026-04-17,2554,Oficina,Internet,Cancelación de servicio,Resuelto,92,175.67,2
204,2026-02-03,3265,WhatsApp,Internet,Producto incorrecto,Pendiente,85,24.83,9
205,2026-02-21,1512,Oficina,Internet,Entrega tardía,En proceso,63,152.1,0
206,2026-02-21,2458,App,Móvil,Entrega tardía,Resuelto,33,3.49,9
207,2026-04-16,3139,Call Center,Paquete Triple,Problema técnico,Pendiente,87,119.91,3
208,2026-02-04,2496,WhatsApp,Paquete Triple,Entrega tardía,Pendiente,95,189.94,3
209,2026-02-15,2065,App,Internet,Problema técnico,Pendiente,56,165.03,9
210,2026-01-15,1807,App,TV,Cancelación de servicio,Resuelto,94,154.3,10
211,2026-02-10,2054,Web,TV,Error de facturación,En proceso,80,172.17,1
212,2026-03-09,4413,WhatsApp,Internet,Producto defectuoso,Resuelto,109,54.19,7
213,2026-03-20,1559,Oficina,Móvil,Producto defectuoso,Resuelto,18,160.63,9
214,2026-04-13,3284,WhatsApp,Móvil,Cancelación de servicio,En proceso,100,83.01,9
215,2026-03-06,4983,WhatsApp,Internet,Cancelación de servicio,Resuelto,82,73.12,5
216,2026-02-09,4658,Call Center,Móvil,Producto defectuoso,Pendiente,33,37.31,7
217,2026-04-07,3592,WhatsApp,Paquete Triple,Entrega tardía,Pendiente,45,104.92,2
218,2026-02-14,4087,Web,Móvil,Producto incorrecto,En proceso,100,160.16,9
219,2026-03-09,2169,App,TV,Cancelación de servicio,Resuelto,27,24.97,10
220,2026-01-11,4455,WhatsApp,Internet,Error de facturación,En proceso,98,128.89,0
221,2026-02-02,1143,WhatsApp,Móvil,Cancelación de servicio,Resuelto,50,26.79,1
222,2026-04-23,2702,App,Internet,Error de facturación,Resuelto,98,105.99,9
223,2026-04-19,4705,Web,Telefonía,Entrega tardía,En proceso,29,163.02,0
224,2026-03-03,4885,Web,Internet,Producto defectuoso,En proceso,95,160.53,6
225,2026-01-12,3658,App,Paquete Triple,Producto defectuoso,Resuelto,108,48.76,9
226,2026-04-22,3767,Call Center,Telefonía,Problema técnico,Resuelto,33,72.9,5
227,2026-02-24,4392,App,Paquete Triple,Producto incorrecto,Resuelto,95,175.94,1
228,2026-01-10,4715,Call Center,Telefonía,Problema técnico,En proceso,114,7.55,1
229,2026-01-07,3328,App,Internet,Problema técnico,Pendiente,98,191.55,1
230,2026-04-09,2976,Oficina,Móvil,Producto incorrecto,En proceso,13,72.22,4
231,2026-04-09,1916,WhatsApp,Móvil,Producto incorrecto,En proceso,96,61.31,3
232,2026-04-02,4151,App,Internet,Producto incorrecto,En proceso,39,93.42,8
233,2026-03-06,3423,App,Telefonía,Error de facturación,Resuelto,16,192.64,3
234,2026-03-27,1626,WhatsApp,Internet,Producto incorrecto,Pendiente,97,144.95,2
235,2026-04-24,3020,Oficina,Internet,Cancelación de servicio,En proceso,82,76.11,4
236,2026-02-16,4489,Call Center,TV,Entrega tardía,En proceso,108,56.72,1
237,2026-04-11,2316,Call Center,Móvil,Error de facturación,En proceso,82,5.02,3
238,2026-01-24,2790,Call Center,Internet,Error de facturación,Resuelto,9,148.59,10
239,2026-01-29,2558,Web,Telefonía,Entrega tardía,Resuelto,95,96.63,10
240,2026-01-29,2132,Web,Telefonía,Entrega tardía,En proceso,13,72.22,7
241,2026-02-01,4659,WhatsApp,Paquete Triple,Producto defectuoso,En proceso,113,131.17,2
242,2026-01-07,3573,Oficina,Móvil,Error de facturación,Pendiente,111,194.15,0
243,2026-02-07,3766,WhatsApp,TV,Producto incorrecto,En proceso,2,68.39,0
244,2026-01-18,4268,App,Móvil,Entrega tardía,Resuelto,110,122.52,5
245,2026-04-16,3755,Oficina,TV,Producto incorrecto,Resuelto,88,108.75,2
246,2026-02-18,1928,WhatsApp,TV,Problema técnico,Pendiente,64,35.89,7
247,2026-04-26,3027,App,Telefonía,Producto incorrecto,En proceso,59,159.95,4
248,2026-03-11,2450,Call Center,Paquete Triple,Problema técnico,Pendiente,4,171.68,5
249,2026-04-03,3177,Web,Internet,Entrega tardía,Pendiente,41,34.7,9
250,2026-04-28,3462,Call Center,Móvil,Error de facturación,Pendiente,101,127.24,9
251,2026-04-16,4952,Oficina,Telefonía,Cancelación de servicio,Resuelto,33,140.54,2
252,2026-04-12,3209,WhatsApp,Internet,Entrega tardía,Pendiente,51,127.86,0
253,2026-03-03,1436,Oficina,Telefonía,Cancelación de servicio,Pendiente,38,122.03,0
254,2026-03-30,1071,App,Paquete Triple,Entrega tardía,Pendiente,13,58.47,4
255,2026-03-13,1263,Call Center,Móvil,Error de facturación,En proceso,93,114.16,4
256,2026-01-24,4881,WhatsApp,Paquete Triple,Producto incorrecto,En proceso,88,48.65,6
257,2026-01-12,4456,Oficina,TV,Producto defectuoso,Resuelto,120,18.34,5
258,2026-02-23,4210,App,Paquete Triple,Problema técnico,Pendiente,54,110.27,0
259,2026-04-21,4770,Web,TV,Producto defectuoso,Pendiente,20,137.31,0
260,2026-03-31,3974,App,Paquete Triple,Cancelación de servicio,Pendiente,7,62.9,0
261,2026-02-07,2117,App,Móvil,Entrega tardía,En proceso,114,29.7,0
262,2026-04-27,3768,Call Center,TV,Error de facturación,Pendiente,119,152.83,0
263,2026-03-30,1700,App,Móvil,Error de facturación,En proceso,69,129.02,5
264,2026-04-14,1535,Call Center,TV,Error de facturación,En proceso,12,182.23,4
265,2026-03-25,2844,App,TV,Producto incorrecto,Resuelto,79,195.9,0
266,2026-02-11,2733,App,Internet,Error de facturación,Pendiente,53,171.77,6
267,2026-04-24,4281,WhatsApp,Paquete Triple,Problema técnico,Pendiente,21,159.86,3
268,2026-03-08,3353,Oficina,TV,Error de facturación,En proceso,7,183.28,10
269,2026-01-07,2961,App,TV,Producto incorrecto,En proceso,76,75.93,0
270,2026-04-13,4505,Web,Telefonía,Problema técnico,Resuelto,5,115.87,2
271,2026-02-08,3132,Web,Telefonía,Entrega tardía,Resuelto,76,163.84,10
272,2026-04-26,1776,Oficina,Internet,Problema técnico,Pendiente,67,138.91,8
273,2026-03-13,2333,Oficina,Internet,Cancelación de servicio,Resuelto,41,58.58,1
274,2026-02-25,1756,App,Paquete Triple,Error de facturación,Pendiente,44,128.27,8
275,2026-03-30,1984,Call Center,Móvil,Problema técnico,Pendiente,97,130.04,8
276,2026-04-19,1328,WhatsApp,TV,Entrega tardía,En proceso,113,18.89,7
277,2026-01-09,4928,Oficina,Telefonía,Cancelación de servicio,Resuelto,100,96.47,6
278,2026-04-10,2236,WhatsApp,Móvil,Producto incorrecto,En proceso,116,109.75,10
279,2026-04-09,2482,WhatsApp,Telefonía,Entrega tardía,Pendiente,102,187.04,1
280,2026-02-05,1677,WhatsApp,Paquete Triple,Entrega tardía,En proceso,113,80.35,0
281,2026-02-27,4771,Web,Internet,Producto incorrecto,Resuelto,17,20.0,3
282,2026-02-14,4134,Web,TV,Problema técnico,Resuelto,38,182.33,7
283,2026-01-15,4917,Call Center,Telefonía,Producto defectuoso,En proceso,57,29.18,9
284,2026-02-25,2609,Call Center,Internet,Problema técnico,Resuelto,93,99.07,6
285,2026-04-11,2804,Web,Internet,Cancelación de servicio,Pendiente,27,157.01,9
286,2026-01-14,1752,Oficina,Paquete Triple,Entrega tardía,Resuelto,20,93.22,4
287,2026-03-10,3955,App,Telefonía,Entrega tardía,Pendiente,112,136.39,7
288,2026-02-08,2476,App,TV,Problema técnico,Resuelto,15,4.45,6
289,2026-03-24,3545,Call Center,TV,Producto defectuoso,Pendiente,61,38.81,5
290,2026-01-17,2404,App,TV,Error de facturación,Resuelto,68,155.87,0
291,2026-01-21,3907,WhatsApp,Internet,Producto incorrecto,Resuelto,57,103.98,5
292,2026-02-08,4920,Oficina,Móvil,Error de facturación,Resuelto,84,19.53,8
293,2026-01-19,3340,WhatsApp,Paquete Triple,Error de facturación,Resuelto,10,130.72,7
294,2026-04-04,4955,Oficina,Móvil,Problema técnico,En proceso,2,62.41,9
295,2026-03-09,2936,WhatsApp,Móvil,Producto defectuoso,Resuelto,48,157.35,10
296,2026-03-03,4820,Oficina,Móvil,Entrega tardía,Resuelto,48,59.58,1
297,2026-04-04,2104,Call Center,TV,Cancelación de servicio,En proceso,87,184.1,9
298,2026-02-22,2804,Oficina,Paquete Triple,Problema técnico,Pendiente,69,113.44,3
299,2026-02-18,1710,App,Internet,Entrega tardía,En proceso,94,107.65,0
300,2026-01-23,4464,Call Center,Paquete Triple,Producto incorrecto,Pendiente,110,63.46,7
301,2026-01-13,1259,Call Center,Internet,Producto defectuoso,Resuelto,35,17.45,7
302,2026-03-09,4126,Web,Móvil,Error de facturación,En proceso,2,177.59,8
303,2026-04-03,4229,App,TV,Producto incorrecto,Resuelto,58,132.31,4
304,2026-02-12,2551,Call Center,TV,Producto incorrecto,En proceso,36,34.56,9
305,2026-01-07,2006,Call Center,Internet,Producto incorrecto,Pendiente,81,51.42,4
306,2026-03-07,3106,Oficina,Internet,Problema técnico,Pendiente,52,37.69,9
307,2026-03-05,4760,WhatsApp,Móvil,Cancelación de servicio,Pendiente,30,83.22,8
308,2026-03-02,4371,Web,Internet,Entrega tardía,Pendiente,62,154.72,9
309,2026-04-27,3979,WhatsApp,Internet,Cancelación de servicio,Resuelto,43,5.35,10
310,2026-01-18,4664,App,Móvil,Cancelación de servicio,Resuelto,112,56.93,4
311,2026-02-13,4761,Web,Internet,Producto incorrecto,En proceso,13,74.13,9
312,2026-04-07,3413,Oficina,Paquete Triple,Error de facturación,Resuelto,8,53.01,5
313,2026-04-17,2599,WhatsApp,Paquete Triple,Problema técnico,En proceso,4,81.7,10
314,2026-01-27,2605,App,TV,Error de facturación,Resuelto,88,16.41,6
315,2026-01-06,1155,Web,Internet,Producto incorrecto,En proceso,89,35.28,3
316,2026-01-21,3167,Web,Internet,Error de facturación,En proceso,25,50.64,5
317,2026-01-21,3837,Oficina,TV,Producto defectuoso,En proceso,95,142.99,6
318,2026-03-25,4201,Call Center,Paquete Triple,Entrega tardía,Resuelto,50,135.31,10
